depth_m,center_mlp_rmse,cnn_rmse,rmse_improvement,center_mlp_mae,cnn_mae
0,0.3931991159915924,0.39655351638793945,-0.003354400396347046,0.2865924537181854,0.2937692403793335
5,0.4063405394554138,0.4051332473754883,0.0012072920799255371,0.2970264256000519,0.3004162907600403
10,0.4337555170059204,0.42137008905410767,0.012385427951812744,0.312051385641098,0.3080363869667053
20,0.6307211518287659,0.5368930101394653,0.09382814168930054,0.42233070731163025,0.3699076175689697
30,0.9104341864585876,0.7295038104057312,0.18093037605285645,0.6243346929550171,0.5051192045211792
50,1.29330575466156,1.068811058998108,0.22449469566345215,0.9816532731056213,0.7982574105262756
75,1.5243799686431885,1.3655952215194702,0.15878474712371826,1.181799054145813,1.052908182144165
100,1.5826315879821777,1.4639811515808105,0.11865043640136719,1.2501047849655151,1.1539663076400757
125,1.5576833486557007,1.449162483215332,0.10852086544036865,1.2594618797302246,1.15631902217865
150,1.5697197914123535,1.4474204778671265,0.12229931354522705,1.289906620979309,1.1527318954467773
200,1.5171838998794556,1.3381054401397705,0.17907845973968506,1.2212435007095337,1.0271209478378296
300,1.3055877685546875,1.1313371658325195,0.17425060272216797,1.0126934051513672,0.8117082715034485
500,1.0579179525375366,0.9228538870811462,0.13506406545639038,0.8325750827789307,0.6664473414421082
700,1.0858466625213623,0.9599321484565735,0.12591451406478882,0.8458314538002014,0.6865236163139343
1000,0.8992857933044434,0.8082647323608398,0.09102106094360352,0.7082672715187073,0.5933758616447449
