Model,Context,N_Params,Val_RMSE,Test_RMSE,Test_MAE,Test_Bias,Test_Correlation
Center MLP,1x1,5519,1.2123667001724243,1.161591649055481,0.8350583910942078,0.019753707572817802,0.9889285880368986
CNN,3x3,14943,1.0749343633651733,1.0380045175552368,0.7251085638999939,-0.0009203134686686099,0.9911561048632971
