time,lat,lon,region,season,split,sst_normalized,pc1,pc2
2021-08-05,11.5,71.5,arabian_sea,summer_monsoon_JJA,train,0.135540387664233,1.1163114,3.7164574
2021-12-20,10.0,93.0,bay_of_bengal,winter_monsoon_DJF,train,0.17018315902302758,3.241815,-2.249895
2022-05-30,18.5,67.0,arabian_sea,pre_monsoon_MAM,train,1.1575031063556298,1.9546655,-0.67272925
2022-06-18,10.25,86.75,bay_of_bengal,summer_monsoon_JJA,train,0.6508520590152466,1.1634774,0.030713797
2024-05-06,8.5,54.25,arabian_sea,pre_monsoon_MAM,test,1.3682469762669718,3.4673896,-0.29720128
2023-11-07,6.75,83.0,bay_of_bengal,post_monsoon_SON,val,0.6017747307612192,3.9065623,-3.9412549
2021-05-16,10.0,84.5,bay_of_bengal,pre_monsoon_MAM,train,1.5097050281444515,2.4029865,-2.1544597
2023-08-02,20.0,59.5,arabian_sea,summer_monsoon_JJA,val,-2.4540093180811904,-10.173423,-1.7433107
2021-02-18,24.25,65.25,arabian_sea,winter_monsoon_DJF,train,-2.228831166590889,-8.833967,-0.6356151
2023-02-21,15.75,91.5,bay_of_bengal,winter_monsoon_DJF,val,-0.5573155901442053,-1.7111932,1.8117399
2022-02-13,16.5,70.5,arabian_sea,winter_monsoon_DJF,train,-0.744964003833411,-1.8455094,0.63086927
2024-03-10,17.25,71.25,arabian_sea,pre_monsoon_MAM,test,-0.04777812699406751,-0.15593362,2.9402294
2024-07-09,19.5,87.0,bay_of_bengal,summer_monsoon_JJA,test,0.8688130697160683,2.5466323,-0.5507684
2024-04-29,12.75,90.75,bay_of_bengal,pre_monsoon_MAM,test,2.281950931218533,3.6174688,-0.5460758
2024-04-13,24.0,62.5,arabian_sea,pre_monsoon_MAM,test,-0.313372982727766,-4.081409,0.61183226
2021-06-17,13.5,54.0,arabian_sea,summer_monsoon_JJA,train,-0.525559785227712,-5.094933,0.641767
2021-05-25,12.75,46.0,arabian_sea,pre_monsoon_MAM,train,1.343708036823685,4.5925264,-1.357815
2024-04-06,9.5,68.25,arabian_sea,pre_monsoon_MAM,test,1.1329644422286163,5.835164,-0.68359363
2024-08-02,8.0,62.5,arabian_sea,summer_monsoon_JJA,test,0.02006448313491773,1.1284654,-0.37078917
2023-06-10,8.5,64.0,arabian_sea,summer_monsoon_JJA,val,0.6927125217960676,1.8509992,0.6219512
2023-06-17,7.0,94.75,bay_of_bengal,summer_monsoon_JJA,val,0.5873404491822598,2.847941,-1.088619
2022-11-26,10.0,66.0,arabian_sea,post_monsoon_SON,train,0.3101977276793565,1.6705582,-0.052378416
2023-03-05,8.0,73.25,arabian_sea,pre_monsoon_MAM,val,0.0965671666419866,3.0271544,-3.0603497
2021-01-02,9.5,55.5,arabian_sea,winter_monsoon_DJF,train,-0.9253955520494103,-3.2949986,2.6120546
2024-02-17,15.5,68.75,arabian_sea,winter_monsoon_DJF,test,-0.20944411801883553,-1.9426367,2.1190162
2024-10-05,12.75,66.25,arabian_sea,post_monsoon_SON,test,0.5209413222744252,3.095282,1.9408963
2024-08-31,19.5,65.75,arabian_sea,summer_monsoon_JJA,test,-0.2729560031680956,-2.343759,2.3899312
2021-06-16,5.5,85.75,bay_of_bengal,summer_monsoon_JJA,train,0.8067443924716855,2.337947,0.02906382
2022-11-08,10.5,68.25,arabian_sea,post_monsoon_SON,train,0.5223848054955759,1.1097693,0.6503996
2024-09-25,12.25,49.75,arabian_sea,post_monsoon_SON,test,1.3133954398120689,0.39441228,-4.102498
2023-04-27,7.75,86.75,bay_of_bengal,pre_monsoon_MAM,val,1.3812377746247806,4.763991,-0.96166587
2021-12-19,14.25,53.25,arabian_sea,winter_monsoon_DJF,train,-1.626912429184752,-7.282193,-2.6539588
2023-09-11,12.5,82.75,bay_of_bengal,post_monsoon_SON,val,0.3636055055968357,2.6846633,-1.3854499
2023-03-11,13.0,67.25,arabian_sea,pre_monsoon_MAM,val,0.11100199885349268,1.0455819,0.7488532
2023-06-17,6.25,52.25,arabian_sea,summer_monsoon_JJA,val,-0.4144143303618485,-2.3346992,-1.3359895
